building_id,climate,cooling_type
1,humid subtropical,mixed mode
2,humid subtropical,air conditioned
3,humid midlatitude,air conditioned
4,humid subtropical,mixed mode
5,mediterranean,air conditioned
6,mediterranean,air conditioned
7,mediterranean,air conditioned
8,mediterranean,air conditioned
9,mediterranean,air conditioned
10,west coast marine,air conditioned
11,west coast marine,air conditioned
12,west coast marine,air conditioned
13,west coast marine,air conditioned
14,west coast marine,air conditioned
15,west coast marine,air conditioned
16,west coast marine,air conditioned
17,west coast marine,air conditioned
18,hot arid,air conditioned
19,hot arid,air conditioned
20,hot arid,air conditioned
21,hot arid,air conditioned
22,hot arid,air conditioned
23,hot arid,air conditioned
24,hot arid,air conditioned
25,hot arid,air conditioned
26,hot arid,air conditioned
27,hot arid,air conditioned
28,hot arid,air conditioned
29,hot arid,air conditioned
30,hot arid,air conditioned
31,hot arid,air conditioned
32,hot arid,air conditioned
33,hot arid,air conditioned
34,hot arid,air conditioned
35,hot arid,air conditioned
36,hot arid,air conditioned
37,hot arid,air conditioned
38,hot arid,air conditioned
39,hot arid,air conditioned
40,hot arid,air conditioned
41,hot arid,air conditioned
42,hot arid,air conditioned
43,hot arid,air conditioned
44,hot arid,air conditioned
45,hot arid,air conditioned
46,hot arid,air conditioned
47,hot arid,air conditioned
48,hot arid,air conditioned
49,hot arid,air conditioned
50,hot arid,air conditioned
51,hot arid,air conditioned
52,hot arid,air conditioned
53,hot arid,air conditioned
54,hot arid,air conditioned
55,hot arid,air conditioned
56,humid subtropical,air conditioned
57,humid subtropical,air conditioned
58,humid subtropical,air conditioned
59,humid subtropical,air conditioned
60,humid subtropical,air conditioned
61,humid subtropical,naturally ventilated
62,humid subtropical,naturally ventilated
63,humid subtropical,naturally ventilated
64,humid subtropical,naturally ventilated
65,humid subtropical,naturally ventilated
66,tropical savanna,air conditioned
67,tropical savanna,air conditioned
68,tropical savanna,air conditioned
69,tropical savanna,air conditioned
70,tropical savanna,air conditioned
71,tropical savanna,air conditioned
72,tropical savanna,air conditioned
73,tropical savanna,air conditioned
74,tropical savanna,air conditioned
75,tropical savanna,air conditioned
76,tropical savanna,air conditioned
77,tropical savanna,air conditioned
78,tropical savanna,air conditioned
79,tropical savanna,air conditioned
80,tropical savanna,air conditioned
81,temperature marine,air conditioned
82,temperature marine,air conditioned
83,temperature marine,air conditioned
84,temperature marine,air conditioned
85,temperature marine,naturally ventilated
86,temperature marine,naturally ventilated
87,temperature marine,naturally ventilated
88,tropical savanna,air conditioned
89,tropical savanna,air conditioned
90,tropical savanna,air conditioned
91,tropical savanna,air conditioned
92,tropical savanna,air conditioned
93,tropical savanna,air conditioned
94,tropical savanna,air conditioned
95,tropical savanna,air conditioned
96,tropical savanna,air conditioned
97,tropical savanna,air conditioned
98,tropical savanna,air conditioned
99,tropical savanna,air conditioned
100,tropical savanna,air conditioned
101,tropical savanna,air conditioned
102,tropical savanna,air conditioned
103,tropical savanna,air conditioned
104,tropical savanna,air conditioned
105,tropical savanna,air conditioned
106,tropical savanna,air conditioned
107,tropical savanna,air conditioned
108,tropical savanna,air conditioned
109,tropical savanna,air conditioned
110,tropical savanna,air conditioned
111,continental subarctic,air conditioned
112,continental subarctic,air conditioned
113,continental subarctic,air conditioned
114,continental subarctic,air conditioned
115,continental subarctic,air conditioned
116,continental subarctic,air conditioned
117,continental subarctic,air conditioned
118,continental subarctic,air conditioned
119,continental subarctic,air conditioned
120,continental subarctic,air conditioned
121,continental subarctic,air conditioned
122,continental subarctic,air conditioned
123,continental subarctic,air conditioned
124,continental subarctic,air conditioned
125,continental subarctic,air conditioned
126,continental subarctic,air conditioned
127,continental subarctic,air conditioned
128,continental subarctic,air conditioned
129,continental subarctic,air conditioned
130,continental subarctic,air conditioned
131,continental subarctic,air conditioned
132,continental subarctic,air conditioned
133,continental subarctic,air conditioned
134,wet equatorial,air conditioned
135,wet equatorial,naturally ventilated
136,tropical savanna,air conditioned
137,tropical savanna,naturally ventilated
138,tropical savanna,naturally ventilated
139,tropical savanna,naturally ventilated
140,tropical savanna,air conditioned
141,mediterranean,naturally ventilated
142,mediterranean,naturally ventilated
143,mediterranean,naturally ventilated
144,mediterranean,naturally ventilated
145,mediterranean,naturally ventilated
146,mediterranean,naturally ventilated
147,wet equatorial,air conditioned
148,wet equatorial,air conditioned
149,wet equatorial,air conditioned
150,wet equatorial,air conditioned
151,wet equatorial,air conditioned
152,wet equatorial,naturally ventilated
153,wet equatorial,mixed mode
154,tropical savanna,naturally ventilated
155,tropical savanna,naturally ventilated
156,tropical savanna,naturally ventilated
157,tropical savanna,naturally ventilated
158,tropical savanna,air conditioned
159,tropical savanna,air conditioned
160,tropical savanna,naturally ventilated
161,tropical savanna,naturally ventilated
162,tropical savanna,naturally ventilated
163,tropical savanna,naturally ventilated
164,tropical savanna,air conditioned
165,tropical savanna,air conditioned
166,tropical wet savanna,naturally ventilated
167,tropical wet savanna,naturally ventilated
168,humid midlatitude,air conditioned
169,humid midlatitude,air conditioned
170,humid midlatitude,air conditioned
171,humid midlatitude,air conditioned
172,desert (hot arid),naturally ventilated
173,desert (hot arid),naturally ventilated
174,desert (hot arid),naturally ventilated
175,semi arid midlatitude,naturally ventilated
176,semi arid midlatitude,naturally ventilated
177,desert (hot arid),naturally ventilated
178,desert (hot arid),naturally ventilated
179,semi arid high altitude,naturally ventilated
180,semi arid high altitude,naturally ventilated
181,west coast marine,naturally ventilated
182,west coast marine,naturally ventilated
183,west coast marine,naturally ventilated
184,hot-summer mediterranean,naturally ventilated
185,hot-summer mediterranean,air conditioned
186,hot-summer mediterranean,air conditioned
187,hot-summer mediterranean,naturally ventilated
188,hot-summer mediterranean,air conditioned
189,hot-summer mediterranean,naturally ventilated
190,hot-summer mediterranean,naturally ventilated
191,hot-summer mediterranean,air conditioned
192,hot-summer mediterranean,air conditioned
193,hot-summer mediterranean,naturally ventilated
194,hot-summer mediterranean,air conditioned
195,hot-summer mediterranean,air conditioned
196,hot-summer mediterranean,naturally ventilated
197,hot-summer mediterranean,naturally ventilated
198,hot-summer mediterranean,air conditioned
199,hot-summer mediterranean,naturally ventilated
200,humid subtropical,mixed mode
201,temperate oceanic,mixed mode
202,humid subtropical,mixed mode
203,temperate,mixed mode
204,temperate,naturally ventilated
205,temperate,mixed mode
206,temperate,naturally ventilated
207,temperate,naturally ventilated
208,temperate,mixed mode
209,temperate,naturally ventilated
210,temperate,mixed mode
211,temperate,naturally ventilated
212,temperate,naturally ventilated
213,temperate,naturally ventilated
214,temperate,mixed mode
215,temperate,mixed mode
216,temperate,naturally ventilated
217,temperate,mixed mode
218,temperate,mixed mode
219,temperate,naturally ventilated
220,temperate,mixed mode
221,temperate,mixed mode
222,temperate,naturally ventilated
223,temperate,mixed mode
224,temperate,mixed mode
225,temperate,naturally ventilated
226,temperate,mixed mode
227,temperate,mixed mode
228,temperate,mixed mode
229,hot semi-arid,naturally ventilated
230,hot semi-arid,naturally ventilated
231,hot semi-arid,naturally ventilated
232,hot semi-arid,naturally ventilated
233,hot semi-arid,naturally ventilated
234,hot semi-arid,naturally ventilated
235,hot semi-arid,mixed mode
236,hot semi-arid,mixed mode
237,hot semi-arid,mixed mode
238,hot semi-arid,mixed mode
239,hot semi-arid,naturally ventilated
240,hot semi-arid,naturally ventilated
241,hot semi-arid,mixed mode
242,hot semi-arid,mixed mode
243,hot semi-arid,mixed mode
244,hot semi-arid,mixed mode
245,hot semi-arid,mixed mode
246,hot semi-arid,naturally ventilated
247,hot semi-arid,mixed mode
248,hot semi-arid,naturally ventilated
249,hot semi-arid,mixed mode
250,hot semi-arid,naturally ventilated
251,hot semi-arid,naturally ventilated
252,hot semi-arid,mixed mode
253,hot semi-arid,naturally ventilated
254,hot semi-arid,naturally ventilated
255,hot semi-arid,mixed mode
256,hot semi-arid,naturally ventilated
257,hot semi-arid,naturally ventilated
258,hot semi-arid,naturally ventilated
259,hot semi-arid,mixed mode
260,hot semi-arid,mixed mode
261,hot semi-arid,mixed mode
262,hot semi-arid,mixed mode
263,hot semi-arid,mixed mode
264,hot semi-arid,naturally ventilated
265,hot semi-arid,naturally ventilated
266,hot semi-arid,naturally ventilated
267,hot semi-arid,mixed mode
268,hot semi-arid,naturally ventilated
269,hot semi-arid,naturally ventilated
270,hot semi-arid,mixed mode
271,hot semi-arid,mixed mode
